CHR,START,END,BRA,ATG,GeneName
A01,375652,376373,BraA01g01550R,AT4G28703,LUX
A01,17894996,17901512,BraA01g24090R,AT3G22380,TIC
A01,20381655,20382530,BraA01g27380R,AT3G17609,HYH
A01,25108050,25114150,BraA01g34680R,AT3G04240,SEC
A01,25985771,25986736,BraA01g36000R,AT3G02380,COL2
A02,367482,373516,BraA02g01670R,AT5G02810,PRR7
A02,1286381,1287840,BraA02g03770R,AT5G08330,CHE
A02,1555428,1559543,BraA02g04400R,AT5G10140,FLC
A02,3162517,3165306,BraA02g07990R,AT5G17300,RVE1
A02,4968508,4968953,BraA02g11470R,AT5G60100,PRR3
A02,5198378,5199196,BraA02g11910R,AT5G59560,SRR1
A02,8776005,8778766,BraA02g17430R,AT1G65480,FT
A02,29277489,29280503,BraA02g43100R,AT5G24470,PRR5
A03,346658,358443,BraA03g01770R,AT5G02840,RVE4
A03,347890,349572,BraA03g01780R,AT5G02840,RVE4
A03,1548842,1550377,BraA03g04320R,AT5G08330,CHE
A03,1811275,1814775,BraA03g04970R,AT5G10140,FLC
A03,3315695,3318999,BraA03g08240R,AT5G17300,RVE1
A03,6493494,6498000,BraA03g14750R,AT5G52660,RVE6
A03,7103731,7109471,BraA03g15700R,AT5G10140,FLC
A03,9807726,9808070,BraA03g20890R,AT2G40080,ELF4
A03,10833959,10836062,BraA03g22930R,AT2G44680,CKB4
A03,11138134,11142849,BraA03g23590R,AT2G46340,SPA1
A03,12777885,12780655,BraA03g26730R,AT4G10180,DET1
A03,14686471,14687610,BraA03g30460R,AT3G02380,COL2
A03,15752903,15754778,BraA03g32910R,AT3G07650,COL9
A03,16352498,16357333,BraA03g34360R,AT3G11540,SPY
A03,17922368,17923544,BraA03g37510R,AT3G17609,HYH
A03,19143489,19149644,BraA03g39640R,AT3G22380,TIC
A03,20773295,20774450,BraA03g42490R,AT3G57880,w
A03,20834338,20837041,BraA03g42600R,AT5G61380,PRR1
A03,28521484,28524136,BraA03g55650R,AT4G31115,PRMT5
