"ATG","BrOr1","BrOr2"
"AT1G01070","BraA09g65100R","BraA10g01790R"
"AT1G01090","BraA09g65110R","BraA10g01730R"
"AT1G01100","BraA09g65120R","BraA10g01720R"
"AT1G01120","BraA09g65130R","BraA10g01700R"
"AT1G01140","BraA09g65140R","BraA10g01690R"
"AT1G01190","BraA09g65160R","BraA10g01650R"
"AT1G01240","BraA09g65180R","BraA10g01620R"
"AT1G01250","BraA09g65190R","BraA10g01610R"
"AT1G01280","BraA09g65200R","BraA10g01590R"
"AT1G01490","BraA09g65240R","BraA10g01460R"
"AT1G01540","BraA09g65260R","BraA10g01430R"
"AT1G01600","BraA09g65290R","BraA10g01390R"
"AT1G01610","BraA09g65300R","BraA10g01370R"
"AT1G01620","BraA09g65310R","BraA10g01360R"
"AT1G01630","BraA09g65320R","BraA10g01350R"
"AT1G01650","BraA09g65330R","BraA10g01340R"
"AT1G01750","BraA09g65360R","BraA10g01290R"
"AT1G01780","BraA09g65370R","BraA10g01270R"
"AT1G02040","BraA09g65480R","BraA10g01070R"
"AT1G02065","BraA09g65490R","BraA10g01080R"
"AT1G02250","BraA09g65080R","BraA10g01910R"
"AT1G02260","BraA09g65070R","BraA10g01900R"
"AT1G02280","BraA09g65060R","BraA10g01940R"
"AT1G02340","BraA09g65030R","BraA10g01980R"
"AT1G02380","BraA09g65010R","BraA10g02020R"
"AT1G02400","BraA08g34920R","BraA10g02040R"
"AT1G02460","BraA09g64970R","BraA10g02110R"
"AT1G02470","BraA09g64960R","BraA10g02120R"
"AT1G02560","BraA08g34880R","BraA10g02150R"
"AT1G02580","BraA09g64930R","BraA10g02170R"
"AT1G02680","BraA08g34830R","BraA10g02240R"
"AT1G02750","BraA09g64880R","BraA10g02310R"
"AT1G02810","BraA08g34790R","BraA10g02340R"
"AT1G02830","BraA09g64820R","BraA10g02360R"
"AT1G02880","BraA08g34780R","BraA10g02440R"
"AT1G02890","BraA09g64790R","BraA10g02450R"
"AT1G02980","BraA09g64760R","BraA10g02500R"
"AT1G03000","BraA09g64740R","BraA10g02510R"
"AT1G03010","BraA09g64730R","BraA10g02520R"
"AT1G03020","BraA09g64720R","BraA10g02530R"
"AT1G03060","BraA09g64680R","BraA10g02570R"
"AT1G03080","BraA09g64670R","BraA10g02580R"
"AT1G03150","BraA08g34710R","BraA10g02650R"
"AT1G03170","BraA08g34690R","BraA10g02660R"
"AT1G03310","BraA08g34640R","BraA10g02700R"
"AT1G03330","BraA08g34630R","BraA10g02710R"
"AT1G03440","BraA08g34610R","BraA10g02790R"
"AT1G03475","BraA09g64590R","BraA10g02820R"
"AT1G03510","BraA08g34600R","BraA10g02850R"
"AT1G03530","BraA08g34590R","BraA10g02870R"
"AT1G03610","BraA08g34550R","BraA10g02910R"
"AT1G03620","BraA08g34540R","BraA10g02920R"
"AT1G03740","BraA09g64500R","BraA10g03020R"
"AT1G03790","BraA08g34490R","BraA10g03060R"
"AT1G03840","BraA09g64470R","BraA10g03110R"
"AT1G03910","BraA09g64400R","BraA10g03170R"
"AT1G04010","BraA09g64360R","BraA10g03260R"
"AT1G04080","BraA08g34380R","BraA10g03290R"
"AT1G04170","BraA08g34360R","BraA10g03350R"
"AT1G04180","BraA09g64280R","BraA10g03380R"
"AT1G04200","BraA08g34340R","BraA10g03390R"
"AT1G04240","BraA09g64230R","BraA10g03420R"
"AT1G04280","BraA08g34300R","BraA10g03440R"
