Accession,Gene Length (bp)
BraA01g01010R,5573
BraA01g01020R,4095
BraA01g01030R,1086
BraA01g01040R,2211
BraA01g01050R,1784
BraA01g01060R,378
BraA01g01070R,1309
BraA01g01080R,1627
BraA01g01090R,992
BraA01g01100R,705
BraA01g01110R,4794
BraA01g01120R,3338
BraA01g01130R,1315
BraA01g01140R,312
BraA01g01150R,989
BraA01g01160R,195
BraA01g01170R,1617
BraA01g01180R,4373
BraA01g01190R,566
BraA01g01200R,1659
BraA01g01210R,1824
BraA01g01220R,9741
BraA01g01230R,1436
BraA01g01240R,2503
BraA01g01250R,555
BraA01g01260R,559
BraA01g01270R,2317
BraA01g01280R,456
BraA01g01290R,357
BraA01g01300R,348
BraA01g01310R,4667
BraA01g01320R,8865
BraA01g01330R,1459
BraA01g01340R,6213
BraA01g01350R,2522
BraA01g01360R,2318
BraA01g01370R,1254
BraA01g01380R,2845
BraA01g01390R,1701
BraA01g01400R,1964
BraA01g01410R,1967
BraA01g01420R,2254
BraA01g01430R,645
BraA01g01440R,19987
BraA01g01450R,656
BraA01g01460R,4323
BraA01g01470R,5889
BraA01g01480R,1066
BraA01g01490R,2615
BraA01g01500R,1964
BraA01g01510R,819
BraA01g01520R,1188
BraA01g01530R,9269
BraA01g01540R,3038
BraA01g01550R,722
BraA01g01560R,1506
BraA01g01570R,1444
BraA01g01580R,4730
BraA01g01590R,2589
BraA01g01600R,1111
BraA01g01610R,5376
BraA01g01620R,3876
BraA01g01630R,3547
BraA01g01640R,5202
BraA01g01650R,4016
BraA01g01660R,1743
BraA01g01670R,3330
BraA01g01680R,3898
BraA01g01690R,2357
BraA01g01700R,3232
BraA01g01710R,3836
BraA01g01720R,3637
BraA01g01730R,2839
BraA01g01740R,717
BraA01g01750R,6102
BraA01g01760R,222
BraA01g01770R,3824
BraA01g01780R,6648
BraA01g01790R,599
BraA01g01800R,331
BraA01g01810R,2112
BraA01g01820R,2469
BraA01g01830R,915
BraA01g01840R,5616
BraA01g01850R,1937
BraA01g01860R,2090
BraA01g01870R,3616
BraA01g01880R,1933
BraA01g01890R,1752
BraA01g01900R,1122
BraA01g01910R,774
BraA01g01920R,3557
BraA01g01930R,4041
BraA01g01940R,9107
BraA01g01950R,2958
BraA01g01960R,3258
BraA01g01970R,2054
BraA01g01980R,1490
BraA01g01990R,1379
BraA01g02000R,6600
BraA01g02010R,1752
BraA01g02020R,1044
BraA01g02030R,3121
BraA01g02040R,628
BraA01g02050R,1875
BraA01g02060R,1820
BraA01g02070R,2327
BraA01g02080R,2097
BraA01g02090R,861
BraA01g02100R,1954
BraA01g02110R,3562
BraA01g02120R,1645
BraA01g02130R,885
BraA01g02140R,2506
BraA01g02150R,2939
BraA01g02160R,2060
BraA01g02170R,441
BraA01g02180R,385
BraA01g02190R,3303
BraA01g02200R,704
BraA01g02210R,561
BraA01g02220R,2492
BraA01g02230R,2614
BraA01g02240R,2498
BraA01g02250R,2262
BraA01g02260R,921
BraA01g02270R,2108
BraA01g02280R,1776
BraA01g02290R,2565
BraA01g02300R,1509
BraA01g02310R,2054
BraA01g02320R,3228
BraA01g02330R,3266
BraA01g02340R,4055
BraA01g02350R,4345
BraA01g02360R,2541
BraA01g02370R,4271
BraA01g02380R,3877
BraA01g02390R,4146
BraA01g02400R,1891
BraA01g02410R,347
BraA01g02420R,1643
BraA01g02430R,654
BraA01g02440R,3374
BraA01g02450R,3944
BraA01g02460R,1441
BraA01g02470R,4359
BraA01g02480R,3022
BraA01g02490R,3683
BraA01g02500R,516
BraA01g02510R,2007
BraA01g02520R,2206
BraA01g02530R,1744
BraA01g02540R,2211
BraA01g02550R,2373
BraA01g02560R,1206
BraA01g02570R,2664
BraA01g02580R,1584
BraA01g02590R,1071
BraA01g02600R,338
BraA01g02610R,1839
BraA01g02620R,246
BraA01g02630R,195
BraA01g02640R,450
BraA01g02650R,1222
BraA01g02660R,3769
BraA01g02670R,2846
BraA01g02680R,1485
BraA01g02690R,5937
BraA01g02700R,2028
BraA01g02710R,6278
BraA01g02720R,4842
BraA01g02730R,900
BraA01g02740R,5180
BraA01g02750R,321
BraA01g02760R,628
BraA01g02770R,237
BraA01g02780R,4589
BraA01g02790R,502
BraA01g02800R,566
BraA01g02810R,1915
BraA01g02820R,3114
BraA01g02830R,1229
BraA01g02840R,781
BraA01g02850R,3581
BraA01g02860R,1981
BraA01g02870R,2811
BraA01g02880R,9065
BraA01g02890R,519
BraA01g02900R,1140
BraA01g02910R,501
BraA01g02920R,2432
BraA01g02930R,4081
BraA01g02940R,1091
BraA01g02950R,1823
BraA01g02960R,2870
BraA01g02970R,2635
BraA01g02980R,858
BraA01g02990R,1483
BraA01g03000R,3058
BraA01g03010R,1561
BraA01g03020R,6586
BraA01g03030R,5328
BraA01g03040R,1825
BraA01g03050R,1424
BraA01g03060R,9895
BraA01g03070R,4304
BraA01g03080R,4873
BraA01g03090R,3585
BraA01g03100R,981
BraA01g03110R,2745
BraA01g03120R,3238
BraA01g03130R,3911
BraA01g03140R,2518
BraA01g03150R,1844
BraA01g03160R,1752
BraA01g03170R,3394
BraA01g03180R,4798
BraA01g03190R,2869
BraA01g03200R,2236
BraA01g03210R,4811
BraA01g03220R,914
BraA01g03230R,6134
BraA01g03240R,1167
BraA01g03250R,5961
BraA01g03260R,907
BraA01g03270R,1281
BraA01g03280R,4201
BraA01g03290R,1134
BraA01g03300R,3950
BraA01g03310R,3004
BraA01g03320R,3872
BraA01g03330R,2752
BraA01g03340R,1788
BraA01g03350R,2974
BraA01g03360R,3125
BraA01g03370R,2836
BraA01g03380R,1700
BraA01g03390R,3743
BraA01g03400R,1225
BraA01g03410R,3844
BraA01g03420R,2634
BraA01g03430R,1842
BraA01g03440R,1227
BraA01g03450R,2046
BraA01g03460R,1227
BraA01g03470R,1019
BraA01g03480R,1680
BraA01g03490R,5008
BraA01g03500R,1760
BraA01g03510R,7991
BraA01g03520R,3321
BraA01g03530R,603
BraA01g03540R,1289
BraA01g03550R,4271
BraA01g03560R,1482
BraA01g03570R,6118
BraA01g03580R,7368
BraA01g03590R,2103
BraA01g03600R,2482
BraA01g03610R,15755
BraA01g03620R,4687
BraA01g03630R,1591
BraA01g03640R,1706
BraA01g03650R,1560
BraA01g03660R,4687
BraA01g03670R,19998
BraA01g03680R,4189
BraA01g03690R,872
BraA01g03700R,1276
BraA01g03710R,773
BraA01g03720R,662
BraA01g03730R,721
BraA01g03740R,902
BraA01g03750R,3073
BraA01g03760R,2514
BraA01g03770R,885
BraA01g03780R,1722
BraA01g03790R,2821
BraA01g03800R,625
BraA01g03810R,2705
BraA01g03820R,2453
BraA01g03830R,11639
BraA01g03840R,2381
BraA01g03850R,492
BraA01g03860R,4920
BraA01g03870R,1598
BraA01g03880R,1368
BraA01g03890R,5192
BraA01g03900R,3153
BraA01g03910R,2062
BraA01g03920R,2016
BraA01g03930R,2796
BraA01g03940R,9749
BraA01g03950R,2103
