CHR,STAR,END,STRAND,BRA,Ath_ortho,Copies,BLK,B.oleracea_ortho,NonSynt_Pattern
A01,7150647,7151054,NS,BraA01g13480R,NS,0,T,Bo4g194850,x
A01,7389178,7390788,+,BraA01g13760R,AT1G51990,5,T,Bo1g056580,x
A01,7390604,7393166,+,BraA01g13770R,AT1G51990,5,T,Bo1g056580,x
A01,7394537,7394917,+,BraA01g13780R,AT1G51990,5,T,Bo1g056600,x
A01,7396853,7402124,+,BraA01g13790R,AT1G51990,5,T,Bo1g056600,x
A01,7446449,7448694,+,BraA01g13860R,AT3G59380,1,T,Bo1g056660,x
A01,7649381,7658736,+,BraA01g14100R,NS,3,T,Bo1g057070,x
A01,8092624,8098090,+,BraA01g14350R,NS,1,T,Bo1g063760,x
A01,8477558,8479614,-,BraA01g14650R,AT5G23060,2,M,Bo01160s010,x
A01,8971686,8972969,+,BraA01g14930R,AT1G51840,1,M,Bo3g017860,x
A01,9002089,9004435,+,BraA01g14950R,AT1G35190,3,M,Bo5g085200,x
A01,9152017,9153357,+,BraA01g15080R,AT1G55360,2,M,Bo3g185130,x
A01,9212831,9213884,+,BraA01g15130R,AT1G19180,4,M,Bo8g068340,x
A01,9216308,9217135,+,BraA01g15150R,AT5G59570,1,M,Bo1g070860,x
A01,9238132,9239640,-,BraA01g15180R,AT5G40010,1,M,Bo9g008520,x
A01,9319848,9321333,-,BraA01g15280R,AT5G62700,3,M,Bo3g107240,x
A01,9326472,9327140,+,BraA01g15300R,AT1G36380,1,M,NA,x
A01,9450912,9451794,-,BraA01g15400R,AT5G50200,3,M,NA,x
A01,9597873,9600294,+,BraA01g15540R,AT1G09940,3,M,Bo5g016620,x
A01,9833443,9836203,-,BraA01g15700R,AT2G47860,1,M,Bo1g075750,x
A01,9915638,9916540,-,BraA01g15780R,AT5G63350,3,M,NA,x
A01,10036146,10045577,-,BraA01g15840R,AT4G01450,4,M,Bo1g078220,x
A01,10229322,10230527,-,BraA01g16070R,AT4G12730,2,M,Bo1g078540,x
A01,10261720,10265395,+,BraA01g16100R,AT4G01400,1,M,Bo1g078570,x
A01,10266720,10269214,+,BraA01g16120R,AT5G19830,1,M,Bo1g078600,x
A01,10297767,10301450,-,BraA01g16160R,AT5G23990,3,M,Bo2g160760,x
A01,10922605,10924696,+,BraA01g16930R,AT5G12270,1,N,Bo2g010870,x
A01,11049245,11049592,-,BraA01g17060R,AT5G51360,3,N,NA,x
A01,11097342,11103685,+,BraA01g17110R,AT5G38020,1,N,Bo1g084810,x
A01,11115748,11117462,+,BraA01g17140R,AT4G22050,2,N,NA,x
A01,11332664,11334564,+,BraA01g17330R,AT5G52190,3,N,NA,x
A01,11421749,11422519,+,BraA01g17390R,AT5G66440,5,N,NA,x
A01,11439535,11441894,+,BraA01g17420R,AT2G14060,2,N,Bo9g181110,x
A01,11786349,11788616,-,BraA01g17850R,AT3G07880,4,NA,Bo1g146130,x
A01,11804108,11806364,+,BraA01g17870R,NS,2,NA,NA,x
A01,11804745,11810309,-,BraA01g17880R,NS,1,NA,Bo1g058950,x
A01,11811248,11812384,-,BraA01g17890R,AT2G33750,3,NA,Bo1g058930,x
A01,11913917,11915326,+,BraA01g17970R,AT3G22950,2,T,Bo1g057740,x
A01,11979380,11980394,+,BraA01g18090R,AT2G29880,3,T,Bo2g134080,x
A01,12087151,12089238,-,BraA01g18170R,AT3G50000,4,T,Bo8g079380,x
A01,12098915,12100971,+,BraA01g18180R,AT5G42590,2,T,Bo1g057520,x
A01,12174108,12186048,+,BraA01g18230R,AT3G49450,4,T,Bo1g057440,x
A01,12250699,12251706,-,BraA01g18370R,AT2G03750,4,NA,Bo1g057320,x
A01,12588907,12590565,+,BraA01g18470R,AT3G57620,1,C,Bo1g086100,x
A01,12908248,12908826,+,BraA01g18640R,AT3G15450,3,C,Bo5g127100,x
A01,13113170,13114931,+,BraA01g18820R,AT2G25160,2,D,Bo1g087290,x
A01,13274603,13275184,+,BraA01g19000R,AT3G28580,5,NA,Bo9g008520,x
A01,13275230,13276074,+,BraA01g19010R,AT3G28580,5,NA,Bo9g008520,x
A01,13292353,13294179,+,BraA01g19020R,AT5G61720,3,X,Bo1g087480,x
A01,13294334,13303535,-,BraA01g19030R,AT5G61730,4,X,Bo7g098980,x
A01,13295428,13296048,-,BraA01g19040R,AT5G61730,4,X,Bo7g098980,x
A01,13303554,13305994,-,BraA01g19050R,AT5G61730,4,X,Bo7g098980,x
A01,13421761,13427826,-,BraA01g19180R,AT5G61700,3,X,Bo7g098970,x
A01,13935718,13936244,+,BraA01g19370R,AT1G24380,2,D,Bo1g087570,x
A01,13936296,13938979,+,BraA01g19380R,AT1G24380,2,D,Bo1g087570,x
A01,14248868,14250546,+,BraA01g19790R,AT5G03030,3,D,Bo4g061570,x
A01,14250556,14251741,+,BraA01g19800R,AT3G21360,4,D,Bo5g101080,x
A01,14279482,14280036,-,BraA01g19840R,AT2G28700,4,D,NA,x
A01,14280097,14283329,-,BraA01g19850R,AT2G28700,4,D,Bo1g150260,x
A01,14283335,14283934,-,BraA01g19860R,AT2G28700,4,D,Bo1g150260,x
A01,14334793,14336944,+,BraA01g19900R,AT5G55630,4,D,Bo1g090150,x
A01,14620748,14621521,NS,BraA01g20220R,AT1G60340,2,D,Bo9g122170,x
A01,14754861,14759388,-,BraA01g20340R,AT3G17700,5,D,Bo1g119310,x
A01,14768844,14770382,-,BraA01g20370R,AT1G64030,4,D,Bo1g091690,x
A01,14800963,14802866,+,BraA01g20390R,AT5G16250,3,D,NA,x
A01,14880789,14882450,-,BraA01g20480R,AT2G43465,3,D,Bo4g019790,x
A01,14957763,14958424,NS,BraA01g20560R,AT1G60500,4,D,Bo1g092880,x
A01,15192056,15208760,-,BraA01g20890R,AT3G08840,2,D,Bo1g094360,x
A01,15264197,15268373,+,BraA01g20940R,AT1G10950,4,D,Bo1g094450,x
A01,15289565,15292932,-,BraA01g20990R,AT5G09890,1,D,Bo1g094500,x
A01,15350891,15352505,-,BraA01g21040R,AT1G80370,5,D,Bo1g094570,x
A01,15471959,15472387,+,BraA01g21180R,AT5G38435,4,D,Bo1g095750,x
A01,15505954,15506513,+,BraA01g21240R,AT1G34047,3,D,NA,x
A01,15512735,15513308,+,BraA01g21260R,AT1G34047,3,D,NA,x
A01,15531680,15532254,+,BraA01g21300R,AT1G34047,3,D,NA,x
A01,15727723,15727992,+,BraA01g21590R,AT3G05858,4,D,NA,x
A01,15756401,15760302,-,BraA01g21630R,AT3G05930,5,D,Bo1g150210,x
A01,15919591,15921951,+,BraA01g21830R,AT4G05120,5,D,Bo9g076350,x
A01,15984238,15985526,-,BraA01g21860R,AT3G15640,4,D,Bo9g120240,x
